"des","px","pz","stand","pitcher_name"
"Ball",0.736,0.962,"Left-handed Batter","Clay Buchholz"
"Ball",-1.504,3.1,"Left-handed Batter","Clay Buchholz"
"Ball",1.533,-0.428,"Left-handed Batter","Clay Buchholz"
"Ball",0.736,0.962,"Left-handed Batter","Clay Buchholz"
"Ball",-1.504,3.1,"Left-handed Batter","Clay Buchholz"
"Ball",1.533,-0.428,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.393,2.597,"Left-handed Batter","Clay Buchholz"
"Called Strike",-1.004,2.086,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.393,2.597,"Left-handed Batter","Clay Buchholz"
"Called Strike",-1.004,2.086,"Left-handed Batter","Clay Buchholz"
"Ball",-1.22,2.674,"Left-handed Batter","Clay Buchholz"
"Ball",-0.629,3.665,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.378,2.323,"Left-handed Batter","Clay Buchholz"
"Ball",-1.22,2.674,"Left-handed Batter","Clay Buchholz"
"Ball",-0.629,3.665,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.378,2.323,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.161,2.344,"Left-handed Batter","Clay Buchholz"
"Ball",2.238,1.491,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.161,2.344,"Left-handed Batter","Clay Buchholz"
"Ball",2.238,1.491,"Left-handed Batter","Clay Buchholz"
"Called Strike",-0.302,3.201,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.302,3.201,"Right-handed Batter","Clay Buchholz"
"Ball",1.052,1.308,"Left-handed Batter","Clay Buchholz"
"Ball",0.758,3.581,"Left-handed Batter","Clay Buchholz"
"Ball",1.052,1.308,"Left-handed Batter","Clay Buchholz"
"Ball",0.758,3.581,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.411,2.47,"Right-handed Batter","Clay Buchholz"
"Ball",1.154,3.62,"Right-handed Batter","Clay Buchholz"
"Called Strike",1.029,2.697,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.411,2.47,"Right-handed Batter","Clay Buchholz"
"Ball",1.154,3.62,"Right-handed Batter","Clay Buchholz"
"Called Strike",1.029,2.697,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.581,3.436,"Left-handed Batter","Clay Buchholz"
"Ball",0.715,3.809,"Left-handed Batter","Clay Buchholz"
"Called Strike",-0.581,3.436,"Left-handed Batter","Clay Buchholz"
"Ball",0.715,3.809,"Left-handed Batter","Clay Buchholz"
"Ball",0.285,0.906,"Right-handed Batter","Clay Buchholz"
"Ball",-1.146,2.322,"Right-handed Batter","Clay Buchholz"
"Ball",-1.262,2.53,"Right-handed Batter","Clay Buchholz"
"Ball",-1.018,3.552,"Right-handed Batter","Clay Buchholz"
"Ball",0.285,0.906,"Right-handed Batter","Clay Buchholz"
"Ball",-1.146,2.322,"Right-handed Batter","Clay Buchholz"
"Ball",-1.262,2.53,"Right-handed Batter","Clay Buchholz"
"Ball",-1.018,3.552,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.001,1.865,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.05,2.114,"Right-handed Batter","Clay Buchholz"
"Ball",1.309,0.827,"Right-handed Batter","Clay Buchholz"
"Ball",-0.539,1.413,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.001,1.865,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.05,2.114,"Right-handed Batter","Clay Buchholz"
"Ball",1.309,0.827,"Right-handed Batter","Clay Buchholz"
"Ball",-0.539,1.413,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.541,2.373,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.541,2.373,"Left-handed Batter","Clay Buchholz"
"Ball",0.289,0.803,"Right-handed Batter","Clay Buchholz"
"Ball",0.289,0.803,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.035,2.837,"Right-handed Batter","Clay Buchholz"
"Ball",1.14,1.911,"Right-handed Batter","Clay Buchholz"
"Ball",0.966,3.666,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.035,2.837,"Right-handed Batter","Clay Buchholz"
"Ball",1.14,1.911,"Right-handed Batter","Clay Buchholz"
"Ball",0.966,3.666,"Right-handed Batter","Clay Buchholz"
"Ball",1.134,1.489,"Right-handed Batter","Clay Buchholz"
"Ball",-0.057,4.125,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.639,3.053,"Right-handed Batter","Clay Buchholz"
"Ball",1.134,1.489,"Right-handed Batter","Clay Buchholz"
"Ball",-0.057,4.125,"Right-handed Batter","Clay Buchholz"
"Called Strike",0.639,3.053,"Right-handed Batter","Clay Buchholz"
"Called Strike",-0.251,2.694,"Left-handed Batter","Clay Buchholz"
"Ball",1.608,2.788,"Left-handed Batter","Clay Buchholz"
"Ball",-1.504,3.021,"Left-handed Batter","Clay Buchholz"
"Ball",0.513,-0.337,"Left-handed Batter","Clay Buchholz"
"Ball",0.971,3.195,"Left-handed Batter","Clay Buchholz"
"Called Strike",-0.251,2.694,"Left-handed Batter","Clay Buchholz"
"Ball",1.608,2.788,"Left-handed Batter","Clay Buchholz"
"Ball",-1.504,3.021,"Left-handed Batter","Clay Buchholz"
"Ball",0.513,-0.337,"Left-handed Batter","Clay Buchholz"
"Ball",0.971,3.195,"Left-handed Batter","Clay Buchholz"
"Ball",-0.977,1.643,"Left-handed Batter","Clay Buchholz"
"Ball",1.317,3.024,"Left-handed Batter","Clay Buchholz"
"Ball",-1.271,2.895,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.763,2.986,"Left-handed Batter","Clay Buchholz"
"Ball",-0.977,1.643,"Left-handed Batter","Clay Buchholz"
"Ball",1.317,3.024,"Left-handed Batter","Clay Buchholz"
"Ball",-1.271,2.895,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.763,2.986,"Left-handed Batter","Clay Buchholz"
"Ball",1.612,2.019,"Left-handed Batter","Clay Buchholz"
"Ball",1.612,2.019,"Left-handed Batter","Clay Buchholz"
"Ball",-1.341,3.188,"Left-handed Batter","Clay Buchholz"
"Ball",-0.874,3.985,"Left-handed Batter","Clay Buchholz"
"Ball",0.936,2.646,"Left-handed Batter","Clay Buchholz"
"Called Strike",-0.421,2.491,"Left-handed Batter","Clay Buchholz"
"Ball",1.998,2.501,"Left-handed Batter","Clay Buchholz"
"Ball",-1.341,3.188,"Left-handed Batter","Clay Buchholz"
"Ball",-0.874,3.985,"Left-handed Batter","Clay Buchholz"
"Ball",0.936,2.646,"Left-handed Batter","Clay Buchholz"
"Called Strike",-0.421,2.491,"Left-handed Batter","Clay Buchholz"
"Ball",1.998,2.501,"Left-handed Batter","Clay Buchholz"
"Ball",0.627,1.365,"Left-handed Batter","Clay Buchholz"
"Ball",-0.118,1.12,"Left-handed Batter","Clay Buchholz"
"Ball",0.627,1.365,"Left-handed Batter","Clay Buchholz"
"Ball",-0.118,1.12,"Left-handed Batter","Clay Buchholz"
"Ball",-0.025,1.712,"Left-handed Batter","Clay Buchholz"
"Ball",-1.713,2.592,"Left-handed Batter","Clay Buchholz"
"Called Strike",-1.155,2.35,"Left-handed Batter","Clay Buchholz"
"Ball",-1.416,3.18,"Left-handed Batter","Clay Buchholz"
"Ball",-0.025,1.712,"Left-handed Batter","Clay Buchholz"
"Ball",-1.713,2.592,"Left-handed Batter","Clay Buchholz"
"Called Strike",-1.155,2.35,"Left-handed Batter","Clay Buchholz"
"Ball",-1.416,3.18,"Left-handed Batter","Clay Buchholz"
"Ball",1.448,1.638,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.185,2.297,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.616,2.538,"Left-handed Batter","Clay Buchholz"
"Ball",1.338,2.319,"Left-handed Batter","Clay Buchholz"
"Ball",1.448,1.638,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.185,2.297,"Left-handed Batter","Clay Buchholz"
"Called Strike",0.616,2.538,"Left-handed Batter","Clay Buchholz"
"Ball",1.338,2.319,"Left-handed Batter","Clay Buchholz"
"Ball",-1.137,3.811,"Left-handed Batter","Clay Buchholz"
"Ball",1.485,2.091,"Left-handed Batter","Clay Buchholz"
